epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
0.1,1,0.41435906068512757,0.4162557840717746,879.57,871,218,4
0.1,2,0.5100580759195353,0.519123430122398,878.47,871,218,4
0.1,3,0.520158235838734,0.522140993050874,879.22,871,218,4
1.0,1,0.5420419156636647,0.5521462727930094,873.42,871,218,4
1.0,2,0.48926858008585133,0.49553892008975764,874.1,871,218,4
1.0,3,0.5602222035182223,0.5623284285001964,880.28,871,218,4
10.0,1,0.4832084841343321,0.49177405618237235,889.18,871,218,4
10.0,2,0.5418735796650114,0.54552605719304,876.62,871,218,4
10.0,3,0.5836209073310328,0.5774827429587681,872.52,871,218,4
100.0,1,0.52655500378756,0.529190957616696,885.6,871,218,4
100.0,2,0.4976853800185169,0.5048065176313196,875.06,871,218,4
100.0,3,0.5614847235081223,0.5812023485760038,874.39,871,218,4
