epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
0.1,1,0.5476811716185505,0.5580530959122741,91.48,871,218,10
0.1,2,0.502314619981483,0.4888160792898967,91.37,871,218,10
0.1,3,0.5538254355693966,0.5471496389681773,91.14,871,218,10
1.0,1,0.4999579160003367,0.4874604691496041,91.4,871,218,10
1.0,2,0.5084588839323289,0.5108414731435478,90.92,871,218,10
1.0,3,0.5597171955222624,0.5651227159546159,90.49,871,218,10
10.0,1,0.5853042673175659,0.5933166764592686,90.94,871,218,10
10.0,2,0.5937210672502314,0.5819264837505959,90.86,871,218,10
10.0,3,0.6359734029122127,0.6287375880012717,90.54,871,218,10
100.0,1,0.5484386836124905,0.5584269987331059,90.37,871,218,10
100.0,2,0.6227590270179277,0.6278193292853791,90.84,871,218,10
100.0,3,0.614173891086609,0.6207405099695181,91.18,871,218,10
