epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
0.1,1,0.527325,0.5169199410118599,919.35,700,400,4
0.1,2,0.5000249999999999,0.5019398775508785,917.15,700,400,4
0.1,3,0.5032000000000001,0.5048976535736347,924.1,700,400,4
1.0,1,0.47075,0.47452750124368875,918.65,700,400,4
1.0,2,0.48685,0.4870124484260499,919.43,700,400,4
1.0,3,0.481225,0.47590971931950815,921.86,700,400,4
10.0,1,0.51335,0.5045571983053461,920.97,700,400,4
10.0,2,0.49135,0.49407249351161664,917.29,700,400,4
10.0,3,0.531375,0.5284253234681321,924.78,700,400,4
100.0,1,0.515925,0.510441041341518,929.63,700,400,4
100.0,2,0.52395,0.5180819236822115,916.44,700,400,4
100.0,3,0.5236750000000001,0.5169092843960924,919.55,700,400,4
