epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
0.1,1,0.546475,0.5449935292619126,913.87,700,400,4
0.1,2,0.494075,0.49669191949824343,910.56,700,400,4
0.1,3,0.50635,0.5157304010160193,913.11,700,400,4
1.0,1,0.5607,0.5594473874073935,912.54,700,400,4
1.0,2,0.4838,0.4939128689962311,908.97,700,400,4
1.0,3,0.47235,0.4722489287614722,912.66,700,400,4
10.0,1,0.46425,0.4664914283097945,904.82,700,400,4
10.0,2,0.47992500000000005,0.46973211326184294,906.57,700,400,4
10.0,3,0.492325,0.4974698546206214,906.74,700,400,4
100.0,1,0.5236,0.5251635589459612,908.75,700,400,4
100.0,2,0.524375,0.5124144132488849,907.86,700,400,4
100.0,3,0.5289,0.5230220423042206,907.58,700,400,4
1000.0,1,0.51855,0.5052271770445118,905.68,700,400,4
1000.0,2,0.507125,0.5104040892541395,909.64,700,400,4
1000.0,3,0.4742,0.4949653950880863,907.55,700,400,4
