epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
0.1,1,0.48533395703164156,0.4884693365012324,962.67,3458,1730,10
0.1,2,0.4725704166527448,0.47517835102163736,963.42,3458,1730,10
0.1,3,0.4874055264125096,0.4837585673828299,966.27,3458,1730,10
1.0,1,0.5167683517658458,0.5173468463707298,951.92,3458,1730,10
1.0,2,0.48403889204450534,0.4856126480225546,953.55,3458,1730,10
1.0,3,0.5028180026061679,0.5018571349702896,955.74,3458,1730,10
10.0,1,0.5474623275084366,0.5495366431006192,953.0,3458,1730,10
10.0,2,0.5320164389054095,0.5330761683605527,949.79,3458,1730,10
10.0,3,0.5269952220254602,0.5302716946766957,951.15,3458,1730,10
100.0,1,0.5636914029870693,0.5685576909060384,947.93,3458,1730,10
100.0,2,0.5476414180226536,0.5531842695950937,948.83,3458,1730,10
100.0,3,0.5450713354940024,0.5466520880548171,952.56,3458,1730,10
1000.0,1,0.5546232750843663,0.5535186650588251,948.67,3458,1730,10
1000.0,2,0.5423676033278759,0.5374788775732868,952.96,3458,1730,10
1000.0,3,0.5499401917872297,0.5538373266029417,949.28,3458,1730,10
