epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
0.1,1,0.4956784389722343,0.5032526648674027,975.16,3000,1730,4
0.1,2,0.49495405793711783,0.5009373057642097,976.15,3000,1730,4
0.1,3,0.5051582077583614,0.5021271887613925,974.98,3000,1730,4
1.0,1,0.4776277189348124,0.47928239459430916,963.9,3000,1730,4
1.0,2,0.5047144909619433,0.5114967191644841,959.93,3000,1730,4
1.0,3,0.4789348123893214,0.4825049764495106,963.1,3000,1730,4
10.0,1,0.5172548364462561,0.5168523095038291,961.31,3000,1730,4
10.0,2,0.48814995489324736,0.4864997501718876,961.47,3000,1730,4
10.0,3,0.5094456881285709,0.5093329406111748,959.72,3000,1730,4
100.0,1,0.49771124995823446,0.494597723221755,960.4,3000,1730,4
100.0,2,0.4965792375288183,0.49708594791792476,961.06,3000,1730,4
100.0,3,0.4972327842560727,0.49911199352999536,959.81,3000,1730,4
1000.0,1,0.49938988940492496,0.5036756846610084,960.73,3000,1730,4
1000.0,2,0.532224932339871,0.5325063929398391,959.24,3000,1730,4
1000.0,3,0.5022312806976512,0.5023293772474101,963.11,3000,1730,4
