epsilon,run,AUC,MA,cpu_s,train_size,n_targets,n_bins
1.0,1,0.49460000000000004,0.5107593398551153,893.64,500,200,10
1.0,2,0.5767,0.5889655172709379,898.37,500,200,10
1.0,3,0.6129,0.5972315264965291,897.04,500,200,10
5.0,1,0.5072,0.488699183894593,896.53,500,200,10
5.0,2,0.6371,0.6429633533851794,897.0,500,200,10
5.0,3,0.54,0.516666128229268,895.55,500,200,10
10.0,1,0.5745,0.5605734368712849,896.99,500,200,10
10.0,2,0.5873,0.5981816195918497,897.87,500,200,10
10.0,3,0.5959,0.5886331194701697,897.49,500,200,10
100.0,1,0.6632,0.6701942393046604,898.66,500,200,10
100.0,2,0.6493,0.6505077587299751,896.83,500,200,10
100.0,3,0.6652,0.6670102165593971,897.73,500,200,10
